Name,Location,Locality,City,Cuisine,Rating,Votes,Average-Cost,Latitude,Longitude
Naivedyam,"Connaught Place, Central Delhi", Central Delhi,Delhi,South Indian,3.8,54,500,28.6185924,77.2107795
AIR An Ivory Region,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Italian,  Street Food",4,3270,1200,28.668945,77.1324614
The Immigrant Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4,65,2100,28.6185924,77.2107795
Taste of China,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai",4.1,91,2000,28.6185924,77.2107795
Blues,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,92,2000,28.6185924,77.2107795
Taco Bell,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Mexican,  Tex Mex",4,37,500,28.6185924,77.2107795
THE ART HOUSE Restaurant,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",3.9,574,2500,28.6185924,77.2107795
DR Zombie,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Italian,  American,  Coffee",4.1,158,1800,28.6185924,77.2107795
Wok in the Clouds,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Asian,  North Indian,  Continental",4.4,69,2200,28.6185924,77.2107795
Kinbuck 2,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian,  Chinese,  South Indian,  Fast Food",3.8,263,1800,28.6185924,77.2107795
Ranisa,"Connaught Place, Central Delhi", Central Delhi,Delhi,Rajasthani,4.4,9,800,28.6185924,77.2107795
The Embassy,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European",4.2,276,2800,28.6185924,77.2107795
World Of My Bar,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Fast Food",4.1,43,2200,28.6185924,77.2107795
Chaayos,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Street Food,  Tea,  Fast Food",4.2,68,500,28.6185924,77.2107795
Mughal-E-Hazam,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,5,1,1200,28.6185924,77.2107795
Creme Borne,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Fast Food",4.8,9,500,28.6185924,77.2107795
The Imperial Cafe,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  European",4.4,23,2500,28.6185924,77.2107795
Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,46,800,28.6185924,77.2107795
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400,28.6185924,77.2107795
Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700,28.6185924,77.2107795
Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200,28.6185924,77.2107795
Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5,2,500,28.6414989,77.2140607
Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3,2,400,28.6185924,77.2107795
Pikkle,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",4.2,499,1800,28.6357855,77.1841395
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200,28.668945,77.1324614
Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400,28.7305037,77.1596854
The DineRoom,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,443,1000,28.668945,77.1324614
Qbic Cafe,"East Patel Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.3,447,1200,28.645649,77.1725666
1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600,28.5713575,77.2330402
Zaika Foods,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4,51,500,28.64609,77.243048
Dilli Gate,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.5,2,600,28.64609,77.243048
Naivedyam,"East Patel Nagar, West Delhi", West Delhi,Delhi,South Indian,4.3,453,500,28.645649,77.1725666
Sandoz,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4.3,851,1000,28.69571925,77.17550499
Molecule Air Bar,"Green Park, South Delhi", South Delhi,Delhi,North Indian,4.2,555,1500,28.5580071,77.2067933
Clue,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Continental,  Chinese,  Oriental ,  Street Food",3.9,1296,1500,28.668945,77.1324614
Thalassery Restaurant,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5,1,800,28.6357855,77.1841395
Suruchi,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Rajasthani,  North Indian,  Gujarati",4.2,55,800,28.6440122,77.1885235
Sandoz,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.3,431,1000,28.5700511,77.2417581
BFF (Beer Food Feast) Restro Bar,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Finger Food",4.1,25,2000,28.6440122,77.1885235
Gola Sizzlers,"Preet Vihar, East Delhi", East Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4.2,83,1200,28.6414176,77.2952819
Socia L Affaire,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",3.6,51,1500,28.6440122,77.1885235
Local heights,"Punjabi Bagh, West Delhi", West Delhi,Delhi,North Indian,3.8,426,800,28.668945,77.1324614
Kaarobaar,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.9,12,900,28.6357855,77.1841395
The Waffle Co.,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5,1,400,28.6357855,77.1841395
Qubitos - The Terrace Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Thai,  Mexican,  European",4.1,2422,1500,28.6490563,77.1227198
736 AD Cafe & Bar,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Continental,  Lebanese",4.2,2062,1500,28.7305037,77.1596854
Jamun,"Lodhi Colony, South Delhi", South Delhi,Delhi,"North Indian,  Seafood,  Andhra,  Kerala",4.4,165,3000,28.586203,77.2268576
Ping's Cafe Orient,"Lodhi Colony, South Delhi", South Delhi,Delhi,Asian,4.4,306,2100,28.586203,77.2268576
Sandoz,"Karol Bagh, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese",3.1,8,1000,28.6440122,77.1885235
Guppy,"Lodhi Colony, South Delhi", South Delhi,Delhi,"Asian,  Japanese,  Oriental ",4.3,291,2500,28.586203,77.2268576
AlKauser,"Chanakyapuri, South Delhi", South Delhi,Delhi,"Mughlai,  North Indian",4,12,800,28.5988477,77.23593006
G2 Cafe,"Anand Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  European,  Asian",4.2,510,1600,28.64268085,77.3072754
Breakin' Brew,"Anand Vihar, East Delhi", East Delhi,Delhi,"Italian,  Continental,  Oriental ",4.6,58,900,28.64268085,77.3072754
Kake Da Hotel,"Rajinder Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,7,1000,28.6357855,77.1841395
Bake Club,"East Patel Nagar, West Delhi", West Delhi,Delhi,"Bakery and Confectionary,  Desserts,  Fast Food",5,1,500,28.645649,77.1725666
The Salt Cafe Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.3,1479,2000,28.6414176,77.2952819
Anardana Modern Kitchen & Bar,"Preet Vihar, East Delhi", East Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.3,434,1700,28.6414176,77.2952819
Uncultured Cafe & Bar,"Kailash Colony, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Finger Food",4.3,2548,1500,28.5530522,77.2429694
Verandah Moonshine,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Fast Food",4.2,939,1500,28.668945,77.1324614
Breath - Fine Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.9,622,1200,28.668945,77.1324614
Pinjore,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,3.6,13,1000,28.645649,77.1725666
The Barbeque Company,"Jail Road, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,2478,2100,28.6170366,77.1058022
Berco's,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Chinese,  Thai",4.1,350,1300,28.68487,77.20840868
Gyan's Restaurant,"East Patel Nagar, West Delhi", West Delhi,Delhi,North Indian,4.1,17,800,28.645649,77.1725666
Taco Bell,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Mexican,  Tex Mex,  Tex Mex",4.5,125,500,28.68487,77.20840868
Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200,28.6490563,77.1227198
The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi", East Delhi,Delhi,"North Indian,  Mughlai",4.2,482,2000,28.6371638,77.28650362
Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,451,2000,28.62841075,77.07611725
Vikrant Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Chinese,  South Indian",3.7,81,700,28.68487,77.20840868
Tippling Street,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Asian",4.3,1435,1800,28.6490563,77.1227198
Bhukkad's Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,Fast Food,4.7,3,400,28.68487,77.20840868
JD Theatre Cafe,"Ashok Vihar Phase - 1, North Delhi", North Delhi,Delhi,Fast Food,4.7,5,500,28.69144015,77.16811534
Moti Mahal Delux,"South Extension - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,470,1500,28.5681089,77.2221923
The Laalten,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Fast Food",4.2,383,1600,28.68487,77.20840868
Govardhan Vegetarian,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  South Indian",3.7,75,1000,28.68487,77.20840868
Clay 1 Grill,"Kirti Nagar, West Delhi", West Delhi,Delhi,North Indian,4.2,624,2000,28.655746,77.1506635
Cafe Chill'm,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Italian,  American",4.1,234,1800,28.68487,77.20840868
Imly,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.2,1363,800,28.69571925,77.17550499
The Hogwarts Kafe,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental ",4.2,221,1200,28.69571925,77.17550499
Sixth Empirica,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,1008,1200,28.668945,77.1324614
TESORO MIO KITCHEN 'N' KAFFE,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,570,1600,28.6414176,77.2952819
Tikka Junction,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4,1,1500,28.68487,77.20840868
Blackmail Lounge,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Italian,  Chinese",4.4,54,1400,28.68487,77.20840868
The Crypto Door,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Continental,  American,  Italian,  Lebanese,  Fusion",4.7,51,800,28.7305037,77.1596854
3 Friends Pizza,"Pandav Nagar, East Delhi", East Delhi,Delhi,Pizza,5,1,400,28.619553,77.2830355
Moets Curry Leaf,"Defence Colony, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Kashmiri",4.1,239,2000,28.5713575,77.2330402
Wow! Momo,"Laxmi Nagar, East Delhi", East Delhi,Delhi,"Fast Food,  Tibetan",3.5,12,400,28.6305974,77.277523
Wow! Momo,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Fast Food,  Tibetan",3.3,38,400,28.68487,77.20840868
Cafe Delhi Heights,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Continental,  Modern Indian,  Italian,  American",4.5,809,2000,28.6490563,77.1227198
The Firangi Island,"Kirti Nagar, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,569,1600,28.655746,77.1506635
Barbeque Nation,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.4,477,1700,28.62841075,77.07611725
Chai Mantra,"Vikas Marg, East Delhi", East Delhi,Delhi,"Fast Food,  Tea,  Chinese",3.7,8,300,28.6340231,77.2829016
New Kadimi,"Janakpuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  South Indian",4.1,161,800,28.6219272,77.0874757
Daawat Restaurant,"Krishna Nagar, East Delhi", East Delhi,Delhi,"North Indian,  Chinese,  South Indian",4,22,600,28.6578127,77.2901199
Padmanabham,"Greater Kailash - 1, South Delhi", South Delhi,Delhi,South Indian,4.4,100,700,28.5538933,77.2400488
Underpass,"Defence Colony, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Fast Food",3.4,56,1500,28.5713575,77.2330402
Three Tuns Cafe & Bar,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.8,431,2200,28.62841075,77.07611725
Mystique Melange,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Lebanese,  Oriental ",4.2,916,1800,28.69571925,77.17550499
Radio Station,"Kailash Colony, South Delhi", South Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese,  Continental",4.3,336,1600,28.5530522,77.2429694
Cafe Emoji's,"Moti Bagh, South Delhi", South Delhi,Delhi,Fast Food,5,1,500,28.5787819,77.1624394
Troy Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Multi-Cuisine,  Chinese,  Continental",3.8,176,1500,28.668945,77.1324614
The Race Lounge And Bar,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Lebanese,  Oriental ",3.8,278,1200,28.6490563,77.1227198
Talli Station,"Naraina, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5,4,1500,28.644371,77.1459826
7 Old Town,"Hauz Khas, South Delhi", South Delhi,Delhi,"Italian,  Asian,  North Indian",4.2,95,1700,28.5536023,77.1948144
No. 1 Uncles Parantha,"South Extension - 1, South Delhi", South Delhi,Delhi,"North Indian,  Fast Food",4,2,400,28.569617,77.2390655
Two Pots Kitchen,"Janakpuri, West Delhi", West Delhi,Delhi,"Italian,  Chinese,  Continental,  Lebanese,  Desserts",4.9,17,600,28.6219272,77.0874757
Madrina,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,370,2200,28.69571925,77.17550499
Taxi - World Food Cafe,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.4,312,1200,28.7305037,77.1596854
Pind Balluchi,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai",4.1,193,1800,28.5696762,77.2389701
Fabcafe by Fabindia,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,"Health Food,  Modern Indian,  North Indian,  Continental",4.4,69,1200,28.5700511,77.2417581
Full Stop,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5,2,1200,28.7305037,77.1596854
Imly,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.1,2243,800,28.6490563,77.1227198
Mic Drop Bar and Restaurant,"South Extension - 2, South Delhi", South Delhi,Delhi,North Indian,4,408,1000,28.5681089,77.2221923
The Branch Kitchen & Bar,"South Extension - 2, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  Italian,  Continental,  American",4,42,2200,28.5681089,77.2221923
Seasonings - The Spice Mysteries,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.1,945,1600,28.69571925,77.17550499
Infinity Lounge Dine and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Multi-Cuisine,  Italian,  South Indian",4.1,205,1500,28.668945,77.1324614
Bhalla King,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,"Street Food,  Fast Food",5,1,300,28.5696762,77.2389701
Annakoot by ISKCON Bangalore,"Preet Vihar, East Delhi", East Delhi,Delhi,"South Indian,  Street Food,  Mithai",3.6,44,500,28.6414176,77.2952819
The Chai Story,"Naraina, West Delhi", West Delhi,Delhi,"Fast Food,  Tea",4.3,31,400,28.644371,77.1459826
TBK Kulcha's,"Janakpuri, West Delhi", West Delhi,Delhi,"Street Food,  Fast Food",4.5,4,500,28.6219272,77.0874757
Frozen Bottle,"Defence Colony, South Delhi", South Delhi,Delhi,"Shakes,  Desserts,  Ice Cream",3,2,300,28.5713575,77.2330402
Boombox Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Arabian,  North Indian,  Continental,  Mexican,  Oriental ",4.1,2399,2500,28.6490563,77.1227198
Chili's American Grill and Bar,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,"Mexican,  American,  Italian",4.3,724,2000,28.5231651,77.2132041
Raftaar - The High Speed Bar and Lounge,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Continental,  North Indian,  Italian",4.2,1229,1600,28.668945,77.1324614
Stupid Bar & Kitchen,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Seafood",3.9,20,1000,28.5696762,77.2389701
Waffle Street,"Janakpuri, West Delhi", West Delhi,Delhi,"Desserts,  Shakes,  Waffle,  Fast Food",4.1,7,400,28.6219272,77.0874757
Dramz,"Mehrauli, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Continental,  European,  Oriental ",4.1,816,2400,28.5218262,77.1783232
Veg Gulati,"Green Park, South Delhi", South Delhi,Delhi,"North Indian,  Biryani,  Indian Cuisine",4.4,207,1200,28.5580071,77.2067933
Cafe After Hours,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental",4.2,257,1200,28.6695782,77.095956
Chili's American Grill and Bar,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Mexican,  American,  Italian",4.4,1789,2000,28.5672954,77.32096303
Wow! Momo,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Fast Food,  Tibetan",3.6,40,400,28.62841075,77.07611725
Raasta,"Green Park, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Chinese,  Continental,  Mediterranean",4.4,223,2000,28.5580071,77.2067933
Jazbaa Lounge and Bar,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian,  Mughlai",4.1,2696,1600,28.6490563,77.1227198
Ada'e Haandi's,"Moti Bagh, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Seafood",4,2,600,28.5787819,77.1624394
Cafe 27,"Kailash Colony, South Delhi", South Delhi,Delhi,"Italian,  North Indian,  Chinese,  Fast Food",4.2,415,1700,28.5530522,77.2429694
London Street,"Anand Vihar, East Delhi", East Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.1,88,1800,28.64268085,77.3072754
KOST,"Lajpat Nagar - 4, South Delhi", South Delhi,Delhi,"Italian,  Chinese,  Fast Food",5,1,1000,28.5660944,77.240459
Sandoz,"Nehru Place, South Delhi", South Delhi,Delhi,North Indian,4.3,103,1000,28.54925735,77.25295263
Mad Over Donuts,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,"Desserts,  Doughnuts",4,27,400,28.5696762,77.2389701
Shalom - Laidback Cafe,"Greater Kailash - 1, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",4.3,479,2000,28.5538933,77.2400488
4th Street Cafe,"Preet Vihar, East Delhi", East Delhi,Delhi,"Fast Food,  Shakes",4.4,22,500,28.6414176,77.2952819
MOC - The American Restaurant,"Mayur Vihar Phase - 1, East Delhi", East Delhi,Delhi,"American,  Burger,  Fast Food",3.7,3,400,28.6035543,77.2899208
Naivedyam,"Hauz Khas Village, South Delhi", South Delhi,Delhi,South Indian,4.2,328,500,28.5533674,77.19484904
Drums of Heaven,"Green Park, South Delhi", South Delhi,Delhi,"Asian,  Chinese,  Thai,  Seafood",4.1,214,1400,28.5580071,77.2067933
The Waffle Co.,"Naraina, West Delhi", West Delhi,Delhi,"Desserts,  Waffle,  Shakes",5,1,400,28.644371,77.1459826
Smelling Salts,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",4.4,550,1800,28.69571925,77.17550499
Gung The Palace,"Green Park, South Delhi", South Delhi,Delhi,"Korean,  Seafood",4.7,38,2500,28.5580071,77.2067933
Cafe Delhi Heights,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.3,652,2000,28.5231651,77.2132041
The Colony Bistro,"Lajpat Nagar - 4, South Delhi", South Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental",4,169,2100,28.5660944,77.240459
