State,City,Name,Type,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,latitude,longitude
Himachal Pradesh,Kinnaur,Sangla Valley,Valley,4.5,Nature,0.01,Morning,31.3533438,78.35401031
Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,4.8,Religious,0.025,Morning,32.2978,78.0119
Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,4.5,Wildlife,0.2,All,31.79683345,77.72392692
Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,4.5,Nature,1.1,All,31.2547508,77.4612694
Himachal Pradesh,Shoja,Serolsar Lake,Lake,4.4,Nature,0.9,Morning,31.5375,77.4167
Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,4.6,Religious,1.3,Morning,32.0269237,77.3449068
Himachal Pradesh,Shimla,The Ridge,Scenic Point,4.7,Recreational,0.03,Morning,31.1047906,77.1752833
Himachal Pradesh,Manali,Solang Valley,Valley,4.1,Adventure,0.05,Morning,32.3160963,77.1565572
Himachal Pradesh,Mandi,Prashar Lake,Lake,4.6,Nature,0.01,Morning,31.7544774,77.10164126
Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,3.8,Recreational,0.1,All,31.1885191,77.027818
Himachal Pradesh,Barot,Barot Valley,Valley,4.7,Nature,1.2,Morning,32.0377277,76.8452055
Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,4.8,Adventure,0.01,All,32.0563633,76.7318737
Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,4.6,Agricultural,0.015,Morning,32.1210671,76.5264001
Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,4.7,Religious,0.15,All,32.2316,76.3238
Himachal Pradesh,Kangra,Kangra Fort,Fort,4.4,Historical,0.1,All,32.08670455,76.25334491
Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,4.8,Adventure,0.01,Morning,32.1542,76.2115
Himachal Pradesh,Chamba,Chamera Lake,Lake,4.4,Recreational,0.01,Morning,32.69233155,76.16315523
Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,4.5,Nature,0.1,Morning,32.5462,76.0581
Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,4.3,Wildlife,0.01,All,33.56737645,75.9801829
Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,4.5,Religious,0.11,All,34.215635,75.5038297
Jammu and Kashmir,Udhampur,Patnitop Height,Hill,4.1,Recreational,0.01,All,32.911964,75.32658449
Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,4.6,Nature,0.11,All,34.0322048,75.3226479
Jammu and Kashmir,Jammu,Vaishno Devi,Temple,4.7,Religious,0.55,All,33.027399,74.945375
Jammu and Kashmir,Srinagar,Dal Lake,Lake,4.6,Nature,0.15,Morning,34.11367785,74.8699911
Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,4.7,Religious,1.8,All,24.4766423,86.60673245
Jharkhand,Ranchi,Pahari Mandir,Temple,4.6,Religious,0.13,All,23.3781017,85.3119682
Karnataka,Bandipur,Bandipur National Park,National Park,4.4,Wildlife,0.15,Morning,27.9380224,84.4066959
Karnataka,Coorg,Abbey Falls,Waterfall,4.1,Nature,0.03,Morning,12.9363343,77.6151183
Karnataka,Bangalore,Bangalore Palace,Palace,4.2,Historical,0.9,Morning,12.9985954,77.5920086
Karnataka,Bangalore,Vidhana Soudha,Government Building,4.6,Architectural,0.8,Morning,12.9797454,77.59061673
Karnataka,Bangalore,Cubbon Park,Park,4.4,Nature,1.32,Morning,12.9767936,77.590082
Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,4.5,Entertainment,0.95,All,12.9767936,77.590082
Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,4.4,Nature,1.5,Evening,12.94884915,77.58688816
Karnataka,Bengaluru,Orion Mall,Mall,4.5,Shopping,1.8,All,13.0103379,77.5549593
Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,4.6,Religious,1.14,Evening,13.0118968,77.551535
Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,4.7,Religious,0.11,All,12.5923947,76.6913469
Karnataka,Mysore,Mysore Palace,Palace,4.6,Historical,2.5,All,12.30521965,76.65538463
Karnataka,Hampi,Hampi Archaeological Ruins,Site,4.7,Historical,0.05,All,15.3358,76.4610201
Karnataka,Bijapur,Gol Gumbaz,Mausoleum,4.5,Historical,0.25,All,16.82962645,75.73600963
Karnataka,Chikmagalur,Mullayanagiri,Mountain Peak,4.5,Nature,0.05,All,13.3909217,75.7214034
Karnataka,Badami,Badami Cave Temples,Cave,4.6,Religious,0.2,All,15.9183722,75.6843849
Karnataka,Shivamogga,Jog Falls,Waterfall,4.6,Nature,0.23,Morning,14.05565025,75.23805528
Karnataka,Murudeshwar,Murudeshwar Temple,Temple,4.7,Religious,0.49,All,15.3410864,75.11971136
Karnataka,Mangalore,Panambur Beach,Beach,4.5,Recreational,0.1,All,12.93849555,74.80397843
Karnataka,Gokarna,Om Beach,Beach,4.5,Nature,0.09,All,14.5190647,74.3254238
Kerala,Thekkady,Periyar National Park,National Park,4.3,Wildlife,0.14,All,9.5804995,77.181142
Kerala,Munnar,Munnar Tea Gardens,Scenic Area,4.3,Nature,0.3,All,10.0869959,77.0600915
Kerala,Kovalam,Kovalam Beach,Beach,4.4,Recreational,0.68,All,8.3950997,76.9729934
Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,4.7,Religious,0.46,All,8.4827062,76.94386141
Kerala,Varkala,Varkala Beach,Beach,4.6,Recreational,0.1,All,8.73322845,76.70542449
Kerala,Nelliyampathy,Seethargundu Viewpoint,Viewpoint,4.5,Nature,0.03,Morning,10.5349244,76.6932494
Kerala,Kumarakom,Kumarakom Bird Sanctuary,Bird Sanctuary,3.8,Wildlife,0.1,All,9.5949953,76.4302599
Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,4.5,Wildlife,2.2,All,11.6725124,76.36876895
Kerala,Alappuzha,Alappuzha Beach,Beach,4.5,Recreational,0.11,All,9.4824643,76.31993755
Kerala,Kochi,LuLu International Shopping Mall,Mall,4.6,Shopping,1.9,All,10.02721845,76.3078873
Kerala,Kochi,Kerala Folklore Museum,Cultural,4.4,Cultural,0.1,All,9.9674277,76.2454436
Kerala,Kochi,Wonderla Amusement Park,Amusement Park,4.6,Entertainment,0.41,All,9.9674277,76.2454436
Kerala,Kochi,Fort Kochi,Site,4.4,Historical,0.1,All,9.966736,76.2422995
Kerala,Kozhikode,Kozhikode Beach,Beach,3.9,Recreational,0.059,All,11.255511,75.76970379
Kerala,Kannur,St. Angelo Fort,Fort,4.4,Historical,0.11,All,11.85412115,75.37197552
Kerala,Bekal,Bekal Fort,Fort,4.5,Historical,0.22,All,12.39222375,75.03276513
Ladakh,Leh,Pangong Tso,Lake,4.9,Nature,0.15,Morning,33.6850323,78.720047
Ladakh,Nubra Valley,Nubra Valley,Valley,4.5,Nature,0.1,All,33.99196705,77.82070371
Ladakh,Leh,Thiksey Monastery,Monastery,4.7,Religious,0.05,All,34.0565625,77.66673866
Ladakh,Leh,Thiksey Monastery,Monastery,4.7,Religious,0.05,All,34.0565625,77.66673866
Ladakh,Hemis,Hemis National Park,National Park,4.4,Wildlife,0.02,All,33.9083119,77.6341507
Ladakh,Leh,Khardung La Pass,Hill,4.5,Adventure,0.05,Afternoon,34.2786625,77.6046891
Ladakh,Diskit,Diskit Monastery,Monastery,4.7,Religious,0.015,Morning,34.5512277,77.5506547
Ladakh,Leh,Magnetic Hill,Gravity Hill,3.7,Nature,0.1,All,34.1709853,77.3524824
Ladakh,Kargil,Kargil War Memorial,War Memorial,4.8,Historical,0.011,All,33.802819,76.47300957
Ladakh,Dras,Dras War Memorial,War Memorial,4.8,Historical,0.012,All,34.4292702,75.750761
Madhya Pradesh,Mandu,Jahaz Mahal,Site,3.9,Historical,0.03,Afternoon,23.7978518,85.52633246
Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,4.4,Religious,0.01,All,22.670465,81.7588417
Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,4.4,Nature,0.1,Morning,25.21713895,81.10459272
Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,4.5,Wildlife,0.05,Morning,23.6851607,81.0377373
Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,4.7,Cultural,0.09,Afternoon,24.8515132,79.9259786
Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,4.5,Nature,0.01,Morning,23.125398,79.8134415
Madhya Pradesh,Orchha,Orchha Fort,Fort,4.8,Historical,0.1,Afternoon,25.3499086,78.64438587
Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,4.6,Nature,0.065,Morning,22.4736824,78.4360537
Madhya Pradesh,Gwalior,Gwalior Fort,Fort,4.5,Historical,0.4,Morning,26.22359955,78.16653809
Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,4.5,Wildlife,0.1,Morning,19.8628957,77.6810002
Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,4.6,Archaeological,0.07,Afternoon,22.9384007,77.6133286
Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,4.7,Historical,0.01,Afternoon,23.2584857,77.401989
Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,4.7,Cultural,0.15,All,23.2584857,77.401989
Madhya Pradesh,Indore,Rajwada Palace,Palace,4.4,Historical,0.63,Afternoon,22.7184344,75.8547755
Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,4.8,Religious,1.2,All,23.1885131,75.7716562
Maharashtra,Ajanta,Ellora Caves,Cave,4.7,Historical,0.49,Afternoon,20.534033,75.748283
Maharashtra,Satara,Kaas Plateau,Valley,4.4,Nature,0.05,Afternoon,17.63612885,74.29827808
Maharashtra,Tarkarli,Tarkarli Beach,Beach,4.6,Recreational,0.065,Evening,16.01468895,73.4895302
Maharashtra,Matheran,Echo Point,Viewpoint,4.4,Nature,0.02,Morning,18.9862195,73.2611377
Maharastra,Shirdi,Sai Baba Temple,Temple,4.7,Religious,0.69,All,17.2767269,80.1269896
Maharastra,Nagpur,Deekshabhoomi,Monument,4.5,Religious,0.11,Afternoon,21.1282013,79.06693
Maharastra,Aurangabad,Ajanta Caves,Cave,4.6,Historical,0.21,Afternoon,20.5648841,75.7236783
Maharastra,Kolhapur,Mahalakshmi Temple,Temple,4.8,Religious,0.9,All,16.69485745,74.22289467
Maharastra,Pune,Shaniwar Wada,Fort,4.4,Historical,1.2,All,18.51938255,73.85535656
Maharastra,Nashik,Sula Vineyards,Vineyard,4.1,Recreational,0.1,Afternoon,20.0046995,73.6869947
Maharastra,Ratnagiri,Ganapatipule Temple,Temple,4.7,Religious,0.1,All,17.2826079,73.4569787
Maharastra,Lonavala,Imagicaa,Amusement Park,1.4,Recreational,0.95,All,18.7548563,73.4016729
Maharastra,Lonavala,Karla Caves,Cave,4.4,Historical,0.27,Afternoon,18.7548563,73.4016729
Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,4.3,Wildlife,0.6,All,19.2093238,72.9163268
Maharastra,Alibaug,Alibaug Beach,Beach,4.2,Recreational,0.05,Evening,18.6627281,72.8787677
Maharastra,Mumbai,Mahalaxmi Temple,Temple,4.7,Religious,0.33,All,19.0785451,72.878176
Maharastra,Mumbai,Chowpatty Beach,Beach,4.3,Recreational,0.05,Evening,19.0785451,72.878176
Maharastra,Mumbai,Elephanta Caves,Monument,4.3,Historical,0.35,All ,19.0785451,72.878176
Maharastra,Mumbai,Gateway of India,Monument,4.6,Historical,3.6,All,18.9219661,72.83456566
Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,4.6,Historical,0.34,All,18.92687725,72.83259208
Maharastra,Mumbai,Siddhivinayak Temple,Temple,4.8,Religious,1.05,All,19.0169869,72.83027248
Maharastra,Mumbai,Marine Drive,Promenade,4.5,Scenic,1.5,Evening,18.9557658,72.812609
Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,4.4,Religious,0.16,All,18.9828229,72.8089926
Maharastra,Mumbai,Essel World,Amusement Park,4.3,Recreational,0.27,All,19.2253824,72.8080979
Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,4.6,Nature,0.06,Morning,25.2777336,91.7292416
Nagaland,Dzükou Valley,Dzükou Valley,Valley,4.7,Trekking,0.01,Afternoon,25.5605322,94.0773878
Odisha,Balasore,Chandipur Beach,Beach,4.2,Recreational,0.014,Morning,21.5006421,86.919884
Odisha,Berhampur,Tara Tarini Temple,Temple,4.6,Religious,0.01,All,21.49308515,86.63272983
Odisha,Konark,Sun Temple,Temple,4.7,Historical,0.83,All,19.8875639,86.09448945
Odisha,Cuttack,Barabati Fort,Fort,4.5,Historical,0.13,All,20.4858221,85.864648
Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,4.4,Wildlife,0.81,Afternoon,20.2602964,85.8394521
Odisha,Bhubaneswar,Lingaraj Temple,Temple,4.6,Religious,0.35,All,20.238369,85.83371904
Odisha,Puri,Jagannath Temple,Temple,4.7,Religious,1,All,19.80477255,85.81808106
Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,4.4,Nature,0.055,All,21.5892323,85.66878414
Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,4.3,Nature,0.018,Morning,21.5,85.5
Odisha,Chilika,Chilika Lake,Lake,3.9,Nature,0.1,Morning,19.6853207,85.25036969
Odisha,Rourkela,Khandadhar Waterfall,Waterfall,4.5,Nature,1.2,All,22.2539994,84.85775201
Odisha,Sambalpur,Hirakud Dam,Dam,4.5,Engineering Marvel,0.01,All,21.5492431,83.90112859
Puducherry,Puducherry,Promenade Beach,Beach,4.5,Recreational,0.09,Morning,11.9321674,79.8360554
Puducherry,Puducherry,Paradise Beach,Beach,4.5,Recreational,0.015,Morning,11.86983405,79.81988774
Puducherry,Auroville,Auroville,Township,4.1,Cultural,0.035,All,12.0098532,79.8109509
Punjab,Chandigarh,Rock Garden,Sculpture Garden,4.5,Artistic,0.5,All,30.7531959,76.80663018
Punjab,Amritsar,Wagah Border,Border Crossing,4.8,Cultural,0.17,Evening,31.6305279,74.8834917
Punjab,Amritsar,Jallianwala Bagh,Memorial,4.8,Historical,0.3,Afternoon,31.62085375,74.88013037
Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,4.9,Spiritual,1.9,All,31.61997865,74.87652808
Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,4.6,Wildlife,0.09,All,26.1137182,76.42406373
Rajasthan,Jaipur,Amber Fort,Fort,4.6,Historical,1.5,All,26.9863104,75.8506607
Rajasthan,Jaipur,Jaigarh Fort,Fort,4.5,Historical,0.3,All,26.9832261,75.8476843
Rajasthan,Jaipur,Hawa Mahal,Palace,4.4,Architectural,1.3,Morning,26.923932,75.8268652
Rajasthan,Jaipur,City Palace,Palace,4.4,Historical,0.51,Morning,26.92620965,75.82383459
Rajasthan,Jaipur,Albert Hall Museum,Museum,4.5,Historical,0.63,All,26.91169265,75.81950236
Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,4.6,Historical,1.9,All,24.88171425,74.64669479
Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,4.6,Religious,0.35,All,26.4563076,74.62795673
Rajasthan,Pushkar,Pushkar Lake,Temple,4.4,Religious,1.6,All,26.4875533,74.55404663
Rajasthan,Udaipur,City Palace,Palace,4.4,Historical,0.51,All,24.5764662,73.6835836
Rajasthan,Udaipur,Lake Pichola,Lake,4.6,Nature,0.5,All,24.56962175,73.67218328
Rajasthan,Bikaner,Junagarh Fort,Fort,4.5,Historical,0.32,All,28.0223479,73.31813295
Rajasthan,Jodhpur,Mehrangarh Fort,Fort,4.6,Historical,0.64,All,26.2995407,73.0195132
Rajasthan,Mount Abu,Dilwara Temples,Temple,4.6,Religious,0.05,All,24.592433,72.7081876
Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,4.4,Historical,0.56,All,26.9127655,70.91249329
Sikkim,Gangtok,Baba Harbhajan Singh Temple,Temple,4.7,Religious,0.075,All,27.36587555,88.83788926
Sikkim,Gangtok,Nathula Pass,Hill,4.3,Historical,0.15,Afternoon,27.3868289,88.8308961
Sikkim,Gangtok,Tsomgo Lake,Lake,4.5,Nature,0.15,Morning,27.37453075,88.76197986
Sikkim,Gangtok,Rumtek Monastery,Monastery,4.6,Religious,0.035,Morning,27.28875815,88.56142002
Sikkim,Ravangla,Buddha Park,Park,4.8,Cultural,0.1,All,27.3116732,88.36356994
Sikkim,Namchi,Char Dham,Religious Complex,4.7,Religious,0.12,All,27.1735348,88.321995
Sikkim,Pelling,Pemayangtse Monastery,Monastery,4.6,Religious,0.015,Morning,27.3003722,88.2356503
Tamil Nadu,Chennai,Marina Beach,Beach,3.9,Recreational,0.1,Morning,13.05327515,80.28328873
Tamil Nadu,Mahabalipuram,Shore Temple,Temple,4.6,Historical,0.09,All,12.6166214,80.19915901
Tamil Nadu,Chidambaram,Nataraja Temple,Temple,4.7,Religious,0.28,All,11.39930365,79.6936521
Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,4.6,Religious,0.01,All,9.2880968,79.31737564
Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,4.7,Religious,0.1,All,9.2880968,79.31737564
Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,4.8,Religious,0.35,All,10.78257995,79.13138189
Tamil Nadu,Yercaud,Yercaud Lake,Lake,4.2,Recreational,0.019,Morning,11.7832744,78.21046871
Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,4.7,Religious,0.65,All,9.9195433,78.11883343
Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,4.6,Religious,0.16,All,8.7284759,77.68895103
Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,4.6,Historical,0.47,Morning,8.0783202,77.5549562
Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,3.9,Recreational,0.1,Morning,10.234003,77.48652292
